Base License Number,Wave Number,Base Name,DBA,Years,Week Number,Pickup Start Date,Pickup End Date,Total Dispatched Trips,Unique Dispatched Vehicle
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,1,1/1/2016,1/2/2016,912,62
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,2,1/3/2016,1/9/2016,2075,47
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,3,1/10/2016,1/16/2016,3326,68
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,30,7/17/2016,7/23/2016,17250,402
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,52,12/18/2016,12/24/2016,52159,1269
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,51,12/11/2016,12/17/2016,18147,362
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,42,10/9/2016,10/15/2016,54271,1329
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,16,4/10/2016,4/16/2016,1489,37
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,10,2/28/2016,3/5/2016,9239,235
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2016,39,9/18/2016,9/24/2016,15713,332
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,26,6/19/2016,6/25/2016,70050,1831
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,43,10/16/2016,10/22/2016,6245,127
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,19,5/1/2016,5/7/2016,87463,1672
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,22,5/22/2016,5/28/2016,13661,651
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,13,3/20/2016,3/26/2016,1161,25
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,35,8/21/2016,8/27/2016,3253,70
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,4,1/17/2016,1/23/2016,115055,2777
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2016,52,12/18/2016,12/24/2016,25938,495
